53,249
13,90
52,213
462,108
32,125
8,71
45,274
31,170
29,282
51,163
31,208
8,248
17,298
40,107
50,120
285,237
49,91
50,144
31,147
12,106
49,72
26,76
16,184
38,324
421,253
9,138
8,232
355,223
271,199
367,150
304,151
465,254
431,107
438,226
412,192
319,151
16,165
266,163
427,145
466,225
384,148
392,256
391,319
427,238
471,122
253,149
446,134
2,270
236,279
23,328
144,66
452,152
340,222
466,91
464,141
3,326
420,162
85,67
275,273
306,219
441,254
312,243
486,68
304,258
260,257
320,256
437,192
403,219
306,38
349,278
25,246
348,255
324,222
368,255
316,275
323,133
437,78
372,221
354,198
339,205
31,92
1,56
424,91
363,135
292,137
425,44
422,70
376,242
39,233
458,282
253,126
277,328
418,177
347,58
102,66
267,178
452,240
287,260
435,207
335,265
412,237
336,240
373,205
377,34
321,205
352,240
499,1
365,280
275,310
111,328
450,55
393,136
281,85
325,64
398,44
438,121
301,326
480,289
60,266
455,75
260,102
336,40
264,87
470,205
273,292
408,329
307,133
4,2
468,164
