205,141
213,166
256,121
344,104
48,59
165,106
184,163
247,34
111,74
332,148
188,128
67,140
350,167
80,85
60,108
362,150
248,75
322,122
10,84
259,244
217,58
187,47
127,89
4,111
9,155
66,37
227,83
121,55
309,148
184,213
208,222
226,187
279,137
33,103
57,169
236,110
108,97
362,117
193,186
314,233
386,234
158,231
46,81
295,240
188,241
226,256
76,177
84,54
161,206
344,222
142,104
79,16
295,167
154,70
140,195
87,142
324,99
131,217
27,67
241,233
110,189
363,97
356,246
35,160
385,203
329,181
42,183
187,69
106,210
124,146
264,96
240,136
168,137
82,113
11,177
